order_id,order_date,product_name,category,quantity,unit_price,total_amount,customer_type,department,doctor_name,manufacturer,batch_number,expiry_date,payment_method,discount_rate,sales_rep,region,notes
ORD20231115000021,2023-11-15,维生素K1注射液,血液系统药物,9,99.2,821.38,机构,消化科,医生2,制药厂8,B2022203442,2026-02-09,商业保险,0.92,代表2,北京市东城区,
ORD20221031000022,2022-10-31,维生素B族片,维生素,12,6.88,81.73,机构,妇科,医生88,制药厂16,B2023712684,2023-12-10,自费,0.99,代表25,北京市丰台区,
ORD20240412000023,2024-04-12,肾上腺素注射液,急救药品,8,186.64,1478.19,机构,内科,医生23,制药厂48,B2022867745,2025-10-10,商业保险,0.99,代表28,北京市海淀区,
ORD20220810000024,2022-08-10,维生素C片,维生素,8,43.64,321.19,机构,骨科,医生30,制药厂15,B2022074164,2024-11-23,自费,0.92,代表11,北京市东城区,
ORD20230726000025,2023-07-26,胰岛素注射液,内分泌药物,18,105.13,1759.88,个人,骨科,医生23,制药厂38,B2022681626,2024-08-22,医保,0.93,代表20,北京市西城区,
ORD20231005000026,2023-10-05,维生素C片,维生素,19,22.33,390.33,机构,内科,医生67,制药厂35,B2023764228,2024-11-18,自费,0.92,代表14,北京市朝阳区,
ORD20231108000027,2023-11-08,阿托品注射液,急救药品,4,139.41,540.91,机构,心血管科,医生42,制药厂26,B2023795844,2025-09-10,商业保险,0.97,代表5,北京市海淀区,
ORD20240216000028,2024-02-16,顺铂注射液,抗肿瘤药物,10,326.98,3073.61,机构,骨科,医生27,制药厂28,B2024026279,2025-02-15,自费,0.94,代表15,北京市西城区,
ORD20241112000029,2024-11-12,板蓝根颗粒,中成药,10,102.24,971.28,机构,外科,医生97,制药厂16,B2023736085,2027-08-22,医保,0.95,代表26,北京市海淀区,
ORD20220405000030,2022-04-05,布地奈德混悬液,呼吸系统药物,3,95.58,272.4,个人,心血管科,医生64,制药厂26,B2022633417,2025-01-08,商业保险,0.95,代表23,北京市朝阳区,
ORD20220807000031,2022-08-07,华法林钠片,血液系统药物,17,40.64,656.34,个人,外科,医生59,制药厂9,B2024068612,2025-02-27,商业保险,0.95,代表17,北京市丰台区,
ORD20240625000032,2024-06-25,地塞米松注射液,急救药品,18,169.5,2867.94,机构,呼吸科,医生34,制药厂49,B2022645543,2025-12-04,商业保险,0.94,代表16,北京市海淀区,
ORD20220608000033,2022-06-08,左旋咪唑片,免疫调节药物,11,155.52,1590.97,个人,儿科,医生20,制药厂15,B2022993503,2024-12-12,商业保险,0.93,代表7,北京市朝阳区,
ORD20231109000034,2023-11-09,创可贴,外用药,7,23.71,162.65,个人,肿瘤科,医生49,制药厂31,B2022026763,2025-12-11,自费,0.98,代表25,北京市西城区,
ORD20240508000035,2024-05-08,云南白药气雾剂,外用药,9,26.97,228.17,机构,神经科,医生86,制药厂44,B2024057624,2025-06-06,商业保险,0.94,代表6,北京市西城区,
ORD20241229000036,2024-12-29,青霉素注射液,抗生素,1,92.86,84.5,个人,呼吸科,医生24,制药厂4,B2022677211,2027-03-12,自费,0.91,代表7,北京市西城区,
ORD20240216000037,2024-02-16,卡马西平片,神经系统药物,3,45.32,129.16,个人,神经科,医生29,制药厂42,B2022181659,2026-08-21,医保,0.95,代表8,北京市海淀区,
ORD20221109000038,2022-11-09,复方甘草片,呼吸系统药物,4,76.3,292.99,机构,骨科,医生99,制药厂24,B2022432876,2024-06-19,医保,0.96,代表10,北京市朝阳区,
ORD20231001000039,2023-10-01,地塞米松注射液,急救药品,7,91.4,582.22,个人,外科,医生90,制药厂50,B2022782983,2026-09-07,商业保险,0.91,代表26,北京市朝阳区,
ORD20240527000040,2024-05-27,吉非替尼片,抗肿瘤药物,11,81.03,802.2,机构,外科,医生56,制药厂24,B2023638532,2026-07-31,商业保险,0.9,代表5,北京市西城区,
ORD20241204000041,2024-12-04,吉非替尼片,抗肿瘤药物,18,327.16,5771.1,机构,肿瘤科,医生35,制药厂21,B2022632419,2027-03-25,自费,0.98,代表29,北京市西城区,
ORD20240809000042,2024-08-09,地塞米松注射液,急救药品,16,80.55,1275.91,机构,妇科,医生46,制药厂17,B2022885581,2026-02-11,商业保险,0.99,代表23,北京市东城区,
ORD20241124000043,2024-11-24,氨溴索口服液,呼吸系统药物,14,43.79,582.41,机构,呼吸科,医生58,制药厂2,B2022245820,2026-07-28,医保,0.95,代表13,北京市海淀区,
ORD20240126000044,2024-01-26,藿香正气水,中成药,18,69.57,1164.6,机构,骨科,医生40,制药厂17,B2022602976,2027-01-14,商业保险,0.93,代表7,北京市东城区,
ORD20230115000045,2023-01-15,复方甘草片,呼吸系统药物,9,113.4,989.98,机构,外科,医生25,制药厂19,B2022596912,2025-07-05,医保,0.97,代表10,北京市朝阳区,
ORD20220917000046,2022-09-17,谷维素片,神经系统药物,18,146.4,2450.74,机构,外科,医生2,制药厂37,B2022738690,2024-01-24,自费,0.93,代表15,北京市东城区,
ORD20220416000047,2022-04-16,卡马西平片,神经系统药物,3,25.97,73.24,个人,儿科,医生20,制药厂37,B2022782395,2023-06-30,医保,0.94,代表4,北京市丰台区,
ORD20230408000048,2023-04-08,华法林钠片,血液系统药物,15,73.07,1019.33,机构,骨科,医生73,制药厂40,B2022162625,2025-11-30,医保,0.93,代表21,北京市海淀区,
ORD20220616000049,2022-06-16,多潘立酮片,消化系统药物,3,34.33,94.75,机构,肿瘤科,医生61,制药厂19,B2022094792,2024-08-07,自费,0.92,代表23,北京市东城区,
ORD20240718000050,2024-07-18,阿托伐他汀钙片,心血管药物,19,139.35,2568.22,机构,外科,医生70,制药厂15,B2023663441,2026-02-05,自费,0.97,代表27,北京市海淀区,
ORD20221206000051,2022-12-06,右旋糖酐铁片,血液系统药物,19,93.31,1755.16,个人,呼吸科,医生89,制药厂20,B2023807594,2025-02-27,自费,0.99,代表17,北京市丰台区,
ORD20220614000052,2022-06-14,硝酸甘油片,急救药品,11,180.1,1901.86,个人,妇科,医生87,制药厂37,B2023511339,2023-07-10,商业保险,0.96,代表27,北京市东城区,
ORD20221225000053,2022-12-25,六味地黄丸,中成药,6,138.25,829.5,机构,外科,医生61,制药厂23,B2023056460,2025-03-15,自费,1.0,代表22,北京市朝阳区,
ORD20231107000054,2023-11-07,鱼肝油,维生素,13,17.97,228.94,个人,呼吸科,医生12,制药厂21,B2022656296,2026-05-23,医保,0.98,代表25,北京市西城区,
ORD20220103000055,2022-01-03,伊马替尼片,抗肿瘤药物,7,235.96,1569.13,机构,呼吸科,医生98,制药厂4,B2022535375,2024-10-01,商业保险,0.95,代表5,北京市东城区,
ORD20240919000056,2024-09-19,硝苯地平缓释片,心血管药物,20,146.24,2866.3,个人,骨科,医生71,制药厂1,B2023427684,2027-09-15,医保,0.98,代表8,北京市朝阳区,
ORD20220829000057,2022-08-29,顺铂注射液,抗肿瘤药物,10,274.27,2605.56,机构,呼吸科,医生61,制药厂16,B2023173369,2024-06-03,自费,0.95,代表7,北京市丰台区,
ORD20221007000058,2022-10-07,奥司他韦胶囊,抗病毒药物,14,69.72,907.75,机构,内科,医生37,制药厂47,B2022779022,2025-03-09,医保,0.93,代表15,北京市丰台区,
ORD20231112000059,2023-11-12,创可贴,外用药,11,25.49,277.59,个人,肿瘤科,医生50,制药厂15,B2023997730,2026-10-26,医保,0.99,代表11,北京市西城区,
ORD20240220000060,2024-02-20,维生素B族片,维生素,2,27.29,49.67,机构,外科,医生57,制药厂7,B2023358486,2026-10-16,医保,0.91,代表24,北京市海淀区,
ORD20221113000061,2022-11-13,美托洛尔片,心血管药物,9,119.41,999.46,机构,外科,医生43,制药厂44,B2023377226,2025-10-22,自费,0.93,代表21,北京市西城区,
ORD20220315000062,2022-03-15,硝酸甘油片,急救药品,10,62.26,622.6,机构,外科,医生98,制药厂41,B2023812646,2023-06-15,自费,1.0,代表6,北京市东城区,
ORD20220405000063,2022-04-05,二甲双胍片,内分泌药物,12,51.07,576.07,机构,肿瘤科,医生88,制药厂12,B2022443868,2023-12-11,医保,0.94,代表20,北京市西城区,
ORD20230509000064,2023-05-09,板蓝根颗粒,中成药,9,42.51,363.46,个人,呼吸科,医生37,制药厂44,B2023403588,2026-03-21,医保,0.95,代表15,北京市东城区,
ORD20230905000065,2023-09-05,伊马替尼片,抗肿瘤药物,15,360.64,5301.41,机构,呼吸科,医生14,制药厂16,B2022986881,2025-03-26,商业保险,0.98,代表10,北京市东城区,
ORD20240321000066,2024-03-21,谷维素片,神经系统药物,2,89.23,176.68,机构,妇科,医生78,制药厂23,B2022574115,2026-08-11,商业保险,0.99,代表9,北京市海淀区,
ORD20220322000067,2022-03-22,卡马西平片,神经系统药物,12,14.67,170.76,机构,神经科,医生96,制药厂27,B2022454289,2023-06-22,医保,0.97,代表26,北京市丰台区,
ORD20240120000068,2024-01-20,碘伏消毒液,外用药,9,42.37,377.52,机构,神经科,医生15,制药厂30,B2022203306,2026-05-27,医保,0.99,代表28,北京市西城区,
ORD20240120000069,2024-01-20,美托洛尔片,心血管药物,18,11.95,195.74,机构,肿瘤科,医生49,制药厂41,B2022962775,2026-01-31,商业保险,0.91,代表8,北京市西城区,
ORD20231103000070,2023-11-03,对乙酰氨基酚片,镇痛药物,15,100.67,1494.95,机构,外科,医生18,制药厂3,B2022105986,2025-09-07,自费,0.99,代表4,北京市朝阳区,
ORD20221005000071,2022-10-05,鱼肝油,维生素,18,21.7,367.16,机构,外科,医生63,制药厂40,B2023055583,2024-03-11,医保,0.94,代表23,北京市东城区,
ORD20240629000072,2024-06-29,孟鲁司特钠片,呼吸系统药物,12,23.91,272.57,机构,内科,医生51,制药厂18,B2022493001,2027-04-20,自费,0.95,代表3,北京市海淀区,
ORD20220213000073,2022-02-13,阿奇霉素片,抗生素,5,44.1,216.09,个人,消化科,医生27,制药厂38,B2022564817,2023-09-11,自费,0.98,代表25,北京市海淀区,
ORD20220106000074,2022-01-06,维生素B1片,神经系统药物,18,148.25,2481.7,个人,内科,医生17,制药厂1,B2022924898,2023-07-03,商业保险,0.93,代表11,北京市朝阳区,
ORD20220418000075,2022-04-18,复方消化酶胶囊,消化系统药物,3,83.65,238.4,个人,呼吸科,医生65,制药厂15,B2023581710,2024-04-22,商业保险,0.95,代表26,北京市丰台区,
ORD20220305000076,2022-03-05,青霉素注射液,抗生素,14,128.62,1746.66,机构,外科,医生11,制药厂21,B2023563430,2024-07-19,医保,0.97,代表5,北京市东城区,
ORD20231028000077,2023-10-28,钙片,维生素,20,25.42,477.9,个人,消化科,医生93,制药厂14,B2023118398,2026-10-15,医保,0.94,代表14,北京市东城区,
ORD20240327000078,2024-03-27,维生素C片,维生素,11,19.06,203.37,个人,呼吸科,医生9,制药厂6,B2022222527,2026-04-14,自费,0.97,代表4,北京市东城区,
ORD20220503000079,2022-05-03,阿托品注射液,急救药品,14,140.6,1850.3,机构,内科,医生37,制药厂39,B2022806761,2025-03-14,医保,0.94,代表19,北京市丰台区,
ORD20240914000080,2024-09-14,氨溴索口服液,呼吸系统药物,18,59.02,998.62,个人,心血管科,医生72,制药厂50,B2024101430,2026-06-26,商业保险,0.94,代表30,北京市东城区,
ORD20230714000081,2023-07-14,左旋咪唑片,免疫调节药物,12,464.69,5018.65,机构,外科,医生19,制药厂48,B2023631502,2024-12-06,医保,0.9,代表24,北京市丰台区,
ORD20240509000082,2024-05-09,藿香正气水,中成药,10,32.04,310.79,个人,内科,医生20,制药厂11,B2023941815,2026-12-11,商业保险,0.97,代表3,北京市东城区,
ORD20240518000083,2024-05-18,六味地黄丸,中成药,7,67.99,466.41,机构,心血管科,医生15,制药厂19,B2023748972,2025-09-11,商业保险,0.98,代表22,北京市东城区,
ORD20240320000084,2024-03-20,硝酸甘油片,急救药品,10,21.38,211.66,机构,骨科,医生42,制药厂8,B2022029149,2025-08-07,商业保险,0.99,代表14,北京市海淀区,
ORD20241226000085,2024-12-26,胸腺肽注射液,免疫调节药物,12,275.12,3004.31,机构,内科,医生59,制药厂5,B2022818033,2026-02-07,商业保险,0.91,代表13,北京市西城区,
ORD20240409000086,2024-04-09,阿奇霉素片,抗生素,20,34.06,647.14,机构,外科,医生56,制药厂7,B2022638138,2027-03-16,商业保险,0.95,代表13,北京市丰台区,
ORD20230928000087,2023-09-28,左旋咪唑片,免疫调节药物,6,149.71,817.42,个人,消化科,医生66,制药厂13,B2023996724,2026-07-07,自费,0.91,代表24,北京市海淀区,
ORD20221027000088,2022-10-27,维生素B1片,神经系统药物,5,34.29,168.02,个人,儿科,医生99,制药厂41,B2023278601,2025-08-28,商业保险,0.98,代表25,北京市丰台区,
ORD20231024000089,2023-10-24,利巴韦林片,抗病毒药物,3,47.17,134.43,机构,骨科,医生76,制药厂4,B2022919312,2026-07-31,医保,0.95,代表10,北京市西城区,
ORD20220427000090,2022-04-27,甲状腺片,内分泌药物,3,20.74,59.73,机构,呼吸科,医生75,制药厂36,B2024031672,2024-09-27,自费,0.96,代表30,北京市丰台区,
ORD20231021000091,2023-10-21,地塞米松注射液,急救药品,2,110.25,209.47,个人,消化科,医生83,制药厂12,B2022115059,2025-10-06,商业保险,0.95,代表15,北京市西城区,
ORD20221122000092,2022-11-22,甲状腺片,内分泌药物,13,138.51,1692.59,个人,神经科,医生9,制药厂22,B2022257333,2024-11-02,自费,0.94,代表9,北京市丰台区,
ORD20231114000093,2023-11-14,阿托伐他汀钙片,心血管药物,10,138.34,1383.4,机构,儿科,医生77,制药厂46,B2022226072,2026-10-29,商业保险,1.0,代表13,北京市东城区,
ORD20241214000094,2024-12-14,美托洛尔片,心血管药物,1,81.19,76.32,个人,神经科,医生99,制药厂32,B2022504711,2026-06-16,医保,0.94,代表5,北京市朝阳区,
ORD20220727000095,2022-07-27,红霉素软膏,外用药,20,34.79,633.18,个人,儿科,医生24,制药厂45,B2023983712,2024-08-15,商业保险,0.91,代表15,北京市朝阳区,
ORD20230502000096,2023-05-02,藿香正气水,中成药,15,115.33,1591.55,机构,呼吸科,医生25,制药厂24,B2023748218,2024-12-31,自费,0.92,代表25,北京市东城区,
ORD20241026000097,2024-10-26,创可贴,外用药,7,48.48,332.57,机构,内科,医生83,制药厂31,B2022962680,2026-03-16,商业保险,0.98,代表28,北京市丰台区,
ORD20230807000098,2023-08-07,阿托伐他汀钙片,心血管药物,17,48.19,745.5,个人,妇科,医生58,制药厂23,B2022077797,2025-10-27,医保,0.91,代表13,北京市丰台区,
ORD20240301000099,2024-03-01,阿司匹林肠溶片,心血管药物,11,41.44,451.28,机构,儿科,医生18,制药厂3,B2022748740,2026-12-26,商业保险,0.99,代表27,北京市海淀区,
ORD20240818000100,2024-08-18,感冒清热颗粒,中成药,1,136.82,127.24,机构,外科,医生100,制药厂19,B2022615934,2026-01-18,医保,0.93,代表2,北京市海淀区,
ORD20240725000101,2024-07-25,硝苯地平缓释片,心血管药物,16,127.14,1952.87,个人,儿科,医生38,制药厂28,B2022016780,2025-08-10,医保,0.96,代表19,北京市西城区,
ORD20220625000102,2022-06-25,碘伏消毒液,外用药,17,8.05,130.01,个人,心血管科,医生61,制药厂3,B2023637338,2024-11-25,自费,0.95,代表9,北京市朝阳区,
ORD20220519000103,2022-05-19,格列美脲片,内分泌药物,4,112.61,441.43,个人,内科,医生46,制药厂35,B2022873868,2024-04-23,商业保险,0.98,代表15,北京市西城区,
ORD20221004000104,2022-10-04,美托洛尔片,心血管药物,7,15.18,95.63,个人,神经科,医生40,制药厂33,B2023029897,2024-04-25,自费,0.9,代表9,北京市朝阳区,
ORD20230127000105,2023-01-27,加巴喷丁胶囊,神经系统药物,2,130.7,258.79,机构,外科,医生48,制药厂28,B2023038204,2024-12-31,自费,0.99,代表11,北京市海淀区,
ORD20241015000106,2024-10-15,甲状腺片,内分泌药物,14,122.16,1556.32,个人,消化科,医生38,制药厂21,B2022272311,2027-06-23,自费,0.91,代表22,北京市东城区,
ORD20240522000107,2024-05-22,复方消化酶胶囊,消化系统药物,2,59.22,114.89,机构,骨科,医生82,制药厂4,B2022207655,2026-05-18,自费,0.97,代表17,北京市海淀区,
ORD20221020000108,2022-10-20,干扰素注射液,抗病毒药物,3,26.26,72.48,机构,神经科,医生50,制药厂37,B2022093513,2025-08-10,商业保险,0.92,代表15,北京市东城区,
ORD20220607000109,2022-06-07,肾上腺素注射液,急救药品,13,115.3,1393.98,个人,外科,医生4,制药厂48,B2022489176,2024-03-18,商业保险,0.93,代表13,北京市丰台区,
ORD20230618000110,2023-06-18,匹多莫德口服液,免疫调节药物,20,146.56,2726.02,个人,外科,医生18,制药厂5,B2023163828,2025-11-01,商业保险,0.93,代表15,北京市朝阳区,
ORD20231017000111,2023-10-17,吉非替尼片,抗肿瘤药物,18,369.29,6314.86,个人,儿科,医生47,制药厂33,B2022582988,2025-08-19,医保,0.95,代表26,北京市海淀区,
ORD20241008000112,2024-10-08,阿奇霉素片,抗生素,12,87.56,998.18,个人,肿瘤科,医生12,制药厂5,B2022807523,2027-04-25,商业保险,0.95,代表24,北京市西城区,
ORD20240418000113,2024-04-18,奥司他韦胶囊,抗病毒药物,11,42.56,449.43,机构,消化科,医生45,制药厂9,B2024003981,2026-07-22,医保,0.96,代表14,北京市丰台区,
ORD20220424000114,2022-04-24,奥司他韦胶囊,抗病毒药物,10,113.26,1041.99,个人,神经科,医生67,制药厂19,B2022215105,2024-03-19,医保,0.92,代表21,北京市丰台区,
ORD20230913000115,2023-09-13,硝酸甘油片,急救药品,6,110.46,636.25,个人,儿科,医生85,制药厂40,B2023856531,2026-04-29,商业保险,0.96,代表2,北京市朝阳区,
ORD20230627000116,2023-06-27,顺铂注射液,抗肿瘤药物,14,395.13,5310.55,机构,消化科,医生38,制药厂42,B2022788912,2024-07-27,医保,0.96,代表26,北京市西城区,
ORD20220530000117,2022-05-30,转移因子口服液,免疫调节药物,14,121.14,1611.16,机构,肿瘤科,医生19,制药厂21,B2023846231,2023-12-24,商业保险,0.95,代表28,北京市东城区,
ORD20220925000118,2022-09-25,右旋糖酐铁片,血液系统药物,4,82.1,305.41,个人,骨科,医生58,制药厂16,B2022372586,2025-01-14,医保,0.93,代表10,北京市西城区,
ORD20240506000119,2024-05-06,复方甘草片,呼吸系统药物,19,123.89,2283.29,个人,呼吸科,医生66,制药厂30,B2023286055,2025-11-16,自费,0.97,代表1,北京市朝阳区,
ORD20241101000120,2024-11-01,板蓝根颗粒,中成药,12,40.12,433.3,机构,肿瘤科,医生84,制药厂44,B2023215681,2026-08-16,商业保险,0.9,代表1,北京市朝阳区,
ORD20230626000121,2023-06-26,左旋咪唑片,免疫调节药物,12,393.74,4252.39,个人,神经科,医生71,制药厂19,B2022197329,2024-08-16,商业保险,0.9,代表15,北京市丰台区,
ORD20220901000122,2022-09-01,奥美拉唑肠溶胶囊,消化系统药物,11,65.15,687.98,个人,妇科,医生78,制药厂33,B2023039193,2024-09-09,医保,0.96,代表2,北京市朝阳区,
ORD20231114000123,2023-11-14,华法林钠片,血液系统药物,5,82.71,397.01,个人,神经科,医生79,制药厂21,B2022427438,2026-04-24,商业保险,0.96,代表24,北京市东城区,
ORD20241104000124,2024-11-04,干扰素注射液,抗病毒药物,10,147.57,1401.91,机构,神经科,医生87,制药厂8,B2023076040,2025-11-21,商业保险,0.95,代表28,北京市朝阳区,
ORD20230628000125,2023-06-28,顺铂注射液,抗肿瘤药物,19,374.63,6762.07,机构,儿科,医生88,制药厂16,B2022092800,2025-12-15,医保,0.95,代表1,北京市西城区,
ORD20221107000126,2022-11-07,维生素B族片,维生素,20,23.47,464.71,个人,消化科,医生27,制药厂36,B2022848837,2024-01-09,商业保险,0.99,代表13,北京市东城区,
ORD20240730000127,2024-07-30,塞来昔布胶囊,镇痛药物,9,86.48,747.19,个人,骨科,医生72,制药厂20,B2022585876,2026-02-11,自费,0.96,代表23,北京市海淀区,
ORD20240928000128,2024-09-28,胰岛素注射液,内分泌药物,9,58.83,492.41,机构,心血管科,医生45,制药厂50,B2024063399,2027-05-08,自费,0.93,代表2,北京市东城区,
ORD20220611000129,2022-06-11,胰岛素注射液,内分泌药物,16,101.84,1499.08,机构,消化科,医生90,制药厂18,B2022362789,2024-12-13,商业保险,0.92,代表24,北京市丰台区,
ORD20220414000130,2022-04-14,顺铂注射液,抗肿瘤药物,2,337.08,613.49,机构,外科,医生88,制药厂50,B2022361084,2024-03-17,商业保险,0.91,代表30,北京市海淀区,
ORD20240901000131,2024-09-01,板蓝根颗粒,中成药,10,115.83,1077.22,个人,外科,医生84,制药厂37,B2022609767,2027-06-24,商业保险,0.93,代表24,北京市朝阳区,
ORD20221225000132,2022-12-25,维生素B族片,维生素,2,47.03,94.06,机构,儿科,医生96,制药厂19,B2022101151,2025-02-03,自费,1.0,代表19,北京市丰台区,
ORD20231118000133,2023-11-18,卡马西平片,神经系统药物,18,148.47,2538.84,机构,骨科,医生25,制药厂8,B2022853662,2025-04-03,商业保险,0.95,代表15,北京市东城区,
ORD20220129000134,2022-01-29,左旋咪唑片,免疫调节药物,19,405.85,7479.82,个人,肿瘤科,医生82,制药厂26,B2024128007,2023-08-14,商业保险,0.97,代表11,北京市朝阳区,
ORD20220715000135,2022-07-15,多潘立酮片,消化系统药物,8,76.84,553.25,个人,呼吸科,医生97,制药厂18,B2022855947,2024-08-10,商业保险,0.9,代表24,北京市丰台区,
ORD20240107000136,2024-01-07,胸腺肽注射液,免疫调节药物,4,77.96,296.25,机构,消化科,医生91,制药厂50,B2022802923,2025-06-18,商业保险,0.95,代表30,北京市东城区,
ORD20230329000137,2023-03-29,复方甘草片,呼吸系统药物,15,76.95,1119.62,机构,心血管科,医生90,制药厂36,B2023219806,2025-12-08,商业保险,0.97,代表27,北京市海淀区,
ORD20220617000138,2022-06-17,创可贴,外用药,12,28.77,314.17,个人,内科,医生71,制药厂33,B2022529792,2025-01-14,医保,0.91,代表6,北京市东城区,
ORD20240623000139,2024-06-23,阿托伐他汀钙片,心血管药物,16,110.37,1606.99,机构,内科,医生59,制药厂9,B2023327806,2026-11-27,自费,0.91,代表19,北京市朝阳区,
ORD20230924000140,2023-09-24,转移因子口服液,免疫调节药物,1,228.18,221.33,个人,内科,医生55,制药厂23,B2023802044,2026-05-08,商业保险,0.97,代表2,北京市朝阳区,
ORD20240824000141,2024-08-24,阿奇霉素片,抗生素,5,67.24,329.48,机构,神经科,医生49,制药厂29,B2022977154,2027-06-16,医保,0.98,代表22,北京市丰台区,
ORD20231214000142,2023-12-14,阿托伐他汀钙片,心血管药物,13,149.0,1840.15,个人,内科,医生39,制药厂30,B2023739920,2025-07-29,自费,0.95,代表18,北京市西城区,
ORD20230522000143,2023-05-22,藿香正气水,中成药,7,31.72,219.82,个人,心血管科,医生79,制药厂50,B2022054943,2024-09-13,医保,0.99,代表3,北京市朝阳区,
ORD20240703000144,2024-07-03,硝酸甘油片,急救药品,2,64.05,120.41,个人,内科,医生18,制药厂33,B2022754836,2026-02-27,商业保险,0.94,代表19,北京市东城区,
ORD20231019000145,2023-10-19,孟鲁司特钠片,呼吸系统药物,17,132.68,2075.12,机构,内科,医生72,制药厂38,B2023893869,2025-08-21,商业保险,0.92,代表22,北京市西城区,
ORD20220407000146,2022-04-07,胰岛素注射液,内分泌药物,11,120.01,1280.51,个人,骨科,医生49,制药厂12,B2023949813,2024-05-29,自费,0.97,代表8,北京市海淀区,
ORD20221023000147,2022-10-23,华法林钠片,血液系统药物,18,138.06,2335.98,个人,心血管科,医生32,制药厂17,B2022536411,2024-12-22,商业保险,0.94,代表3,北京市西城区,
ORD20220709000148,2022-07-09,云南白药气雾剂,外用药,13,7.32,92.31,个人,外科,医生25,制药厂49,B2023514555,2025-03-17,自费,0.97,代表7,北京市东城区,
